NM_001180043.1	YAL068C
NM_001178798.1	YCR092C
NM_001178799.1	YCR093W
NM_001178800.1	YCR094W
NM_001178801.1	YCR095C
NM_001184674.1	YCR095W-A
NM_001178802.1	YCR096C
NM_001178804.1	YCR097W
unassigned_transcript_30	YNCC0014W
NM_001178805.1	YCR098C
NM_001178806.1	YCR099C
NM_001178807.1	YCR100C
NM_001178808.1	YCR101C
NM_001178809.1	YCR102C
NM_001178811.1	YCR104W
NM_001178812.1	YCR105W
NM_001178813.1	YCR106W
NM_001178814.1	YCR107W
NM_001184543.1	YCR108C
NM_001180308.1	YDL248W
NM_001180307.1	YDL247W
NM_001180306.1	YDL246C
NM_001180305.1	YDL245C
NM_001180304.1	YDL244W
NM_001180303.1	YDL243C
NM_001348898.1	YDL242W
NM_001180301.1	YDL241W
NM_001180300.2	YDL240W
NM_001180299.2	YDL239C
NM_001180298.1	YDL238C
NM_001180297.2	YDL237W
NM_001180296.1	YDL236W
NM_001180295.1	YDL235C
NM_001180294.1	YDL234C
NM_001180293.1	YDL233W
NM_001180292.1	YDL232W
NM_001180291.1	YDL231C
NM_001180290.1	YDL230W
NM_001180289.1	YDL229W
NM_001180287.1	YDL227C
NM_001180286.1	YDL226C
NM_001180285.1	YDL225W
NM_001180284.1	YDL224C
NM_001180283.1	YDL223C
NM_001180282.1	YDL222C
NM_001180280.1	YDL220C
NM_001180279.1	YDL219W
NM_001180278.1	YDL218W
NM_001180277.1	YDL217C
NM_001180276.1	YDL216C
NM_001180275.1	YDL215C
NM_001180274.1	YDL214C
NM_001180273.1	YDL213C
NM_001180272.1	YDL212W
NM_001180271.1	YDL211C
unassigned_transcript_31	YNCD0001W
NM_001180270.1	YDL210W
NM_001180269.1	YDL209C
NM_001180268.1	YDL208W
NM_001180267.1	YDL207W
NM_001180266.1	YDL206W
NM_001180265.1	YDL205C
NM_001431137.1	YDL204W-A
NM_001180264.1	YDL204W
NM_001180263.1	YDL203C
NM_001180262.1	YDL202W
NM_001180261.1	YDL201W
NM_001180260.1	YDL200C
NM_001180259.1	YDL199C
NM_001180258.1	YDL198C
NM_001180257.1	YDL197C
NM_001180255.2	YDL195W
NM_001180254.1	YDL194W
NM_001180253.1	YDL193W
NM_001180252.1	YDL192W
NM_001180196.2	YDL191W
NM_001180250.2	YDL190C
NM_001180249.1	YDL189W
NM_001180248.1	YDL188C
NM_001180246.1	YDL186W
NM_001180245.1	YDL185W
NM_001180244.1	YDL184C
NM_001180243.1	YDL183C
NM_001180242.1	YDL182W
NM_001180241.1	YDL181W
NM_001180240.1	YDL180W
NM_001180239.1	YDL179W
NM_001180238.1	YDL178W
NM_001180237.1	YDL177C
NM_001180236.1	YDL176W
NM_001180235.1	YDL175C
NM_001180234.1	YDL174C
NM_001180233.1	YDL173W
NM_001180231.1	YDL171C
NM_001180230.1	YDL170W
NM_001180229.1	YDL169C
NM_001180228.1	YDL168W
NM_001180227.1	YDL167C
NM_001180226.1	YDL166C
NM_001180225.1	YDL165W
NM_001180224.1	YDL164C
NM_001180221.1	YDL161W
NM_001184530.1	YDL160C-A
NM_001180220.1	YDL160C
NM_001184465.1	YDL159W-A
NM_001180219.1	YDL159W
NM_001180217.1	YDL157C
NM_001180216.1	YDL156W
NM_001180215.1	YDL155W
NM_001180214.1	YDL154W
NM_001180213.1	YDL153C
NM_001180210.1	YDL150W
NM_001180209.1	YDL149W
NM_001180208.1	YDL148C
NM_001180207.1	YDL147W
NM_001180206.1	YDL146W
NM_001180205.1	YDL145C
NM_001180204.1	YDL144C
NM_001180203.1	YDL143W
NM_001180202.1	YDL142C
NM_001180201.1	YDL141W
NM_001180200.1	YDL140C
NM_001180199.1	YDL139C
NM_001180198.1	YDL138W
NM_001180197.1	YDL137W
NM_001180251.2	YDL136W
NM_001180195.1	YDL135C
NM_001180193.1	YDL134C
NM_001180194.1	YDL133C-A
NM_001180192.1	YDL133W
NM_001180191.1	YDL132W
NM_001180190.1	YDL131W
NM_001184325.1	YDL130W-A
NM_001180189.1	YDL130W
NM_001180188.1	YDL129W
NM_001180187.1	YDL128W
NM_001180186.1	YDL127W
NM_001180185.1	YDL126C
NM_001180184.1	YDL125C
NM_001180183.1	YDL124W
NM_001180182.1	YDL123W
NM_001180181.1	YDL122W
NM_001180180.1	YDL121C
NM_001180179.1	YDL120W
NM_001180178.1	YDL119C
NM_001180176.1	YDL117W
NM_001180175.1	YDL116W
NM_001180174.1	YDL115C
NM_001180173.1	YDL114W
NM_001180172.1	YDL113C
NM_001180171.1	YDL112W
NM_001180170.1	YDL111C
NM_001180169.1	YDL110C
NM_001180168.1	YDL109C
NM_001180167.1	YDL108W
NM_001180166.1	YDL107W
NM_001180165.1	YDL106C
NM_001180164.1	YDL105W
NM_001180163.1	YDL104C
NM_001180162.1	YDL103C
NM_001180161.2	YDL102W
NM_001180160.1	YDL101C
NM_001180159.1	YDL100C
NM_001180158.1	YDL099W
NM_001180157.1	YDL098C
NM_001180156.1	YDL097C
NM_001180154.1	YDL095W
NM_001180152.1	YDL093W
NM_001180151.1	YDL092W
NM_001180150.1	YDL091C
NM_001180149.1	YDL090C
NM_001180148.1	YDL089W
NM_001180147.1	YDL088C
NM_001180146.1	YDL087C
NM_001180145.1	YDL086W
NM_001184455.1	YDL085C-A
NM_001180144.1	YDL085W
NM_001180143.1	YDL084W
NM_001180142.1	YDL083C
NM_001180141.1	YDL082W
NM_001180140.1	YDL081C
NM_001180139.1	YDL080C
NM_001180138.1	YDL079C
NM_001180137.1	YDL078C
NM_001180136.1	YDL077C
NM_001180135.1	YDL076C
NM_001180134.1	YDL075W
NR_132159.1	YNCD0002C
NM_001180133.1	YDL074C
NM_001180132.1	YDL073W
NM_001180131.1	YDL072C
NM_001180129.1	YDL070W
NM_001180128.1	YDL069C
NM_001180126.1	YDL067C
NM_001180125.1	YDL066W
NM_001180124.1	YDL065C
NM_001180123.1	YDL064W
NM_001180122.1	YDL063C
NM_001180120.1	YDL061C
NM_001180119.1	YDL060W
NM_001180118.1	YDL059C
NM_001180117.1	YDL058W
NM_001180116.1	YDL057W
NM_001180115.1	YDL056W
NM_001180114.1	YDL055C
unassigned_transcript_32	YNCD0003W
NM_001180113.1	YDL054C
NM_001180112.1	YDL053C
NM_001180111.1	YDL052C
NM_001180110.1	YDL051W
NM_001180108.1	YDL049C
NM_001180107.1	YDL048C
